model,grid_id,square_id,error_X,error_Y
claude-3-5-haiku,1748135594214,0,-96,-326
claude-3-5-haiku,1748135594214,1,-146,-214
claude-3-5-haiku,1748135594214,2,-178,-122
claude-3-5-haiku,1748135594214,3,117,57
claude-3-5-haiku,1748135594214,4,14,191
claude-3-5-haiku,1748135594245,0,4,-301
claude-3-5-haiku,1748135594245,1,26,-261
claude-3-5-haiku,1748135594245,2,89,-33
claude-3-5-haiku,1748135594245,3,22,-130
claude-3-5-haiku,1748135594245,4,-2,209
claude-3-5-haiku,1748135594251,0,-34,264
claude-3-5-haiku,1748135594251,1,-72,94
claude-3-5-haiku,1748135594251,2,-5,55
claude-3-5-haiku,1748135594251,3,42,-190
claude-3-5-haiku,1748135594251,4,-17,-359
claude-3-5-sonnet,1748135594214,0,109,132
claude-3-5-sonnet,1748135594214,1,59,26
claude-3-5-sonnet,1748135594214,2,27,-99
claude-3-5-sonnet,1748135594214,3,101,41
claude-3-5-sonnet,1748135594214,4,-2,-203
claude-3-5-sonnet,1748135594245,0,439,134
claude-3-5-sonnet,1748135594245,1,0,-31
claude-3-5-sonnet,1748135594245,2,-103,31
claude-3-5-sonnet,1748135594245,3,-80,-232
claude-3-5-sonnet,1748135594245,4,23,-60
claude-3-5-sonnet,1748135594251,0,382,271
claude-3-5-sonnet,1748135594251,1,130,194
claude-3-5-sonnet,1748135594251,2,-5,-47
claude-3-5-sonnet,1748135594251,3,-271,-188
claude-3-5-sonnet,1748135594251,4,-322,-365
claude-3-7-sonnet,1748135594214,0,-1,0
claude-3-7-sonnet,1748135594214,1,0,-2
claude-3-7-sonnet,1748135594214,2,29,0
claude-3-7-sonnet,1748135594214,3,1,197
claude-3-7-sonnet,1748135594214,4,-1,4
claude-3-7-sonnet,1748135594245,0,0,1
claude-3-7-sonnet,1748135594245,1,0,-1
claude-3-7-sonnet,1748135594245,2,0,1
claude-3-7-sonnet,1748135594245,3,0,-2
claude-3-7-sonnet,1748135594245,4,0,4
claude-3-7-sonnet,1748135594251,0,0,117
claude-3-7-sonnet,1748135594251,1,0,185
claude-3-7-sonnet,1748135594251,2,0,-94
claude-3-7-sonnet,1748135594251,3,0,-175
claude-3-7-sonnet,1748135594251,4,1,-308
claude-4-opus,1748135594214,0,0,1
claude-4-opus,1748135594214,1,0,2
claude-4-opus,1748135594214,2,1,1
claude-4-opus,1748135594214,3,2,1
claude-4-opus,1748135594214,4,0,1
claude-4-opus,1748135594245,0,0,0
claude-4-opus,1748135594245,1,1,1
claude-4-opus,1748135594245,2,0,1
claude-4-opus,1748135594245,3,1,2
claude-4-opus,1748135594245,4,0,1
claude-4-opus,1748135594251,0,2,1
claude-4-opus,1748135594251,1,-1,0
claude-4-opus,1748135594251,2,0,1
claude-4-opus,1748135594251,3,-1,1
claude-4-opus,1748135594251,4,-1,0
claude-4-sonnet,1748135594214,0,0,0
claude-4-sonnet,1748135594214,1,0,1
claude-4-sonnet,1748135594214,2,1,-1
claude-4-sonnet,1748135594214,3,0,0
claude-4-sonnet,1748135594214,4,0,1
claude-4-sonnet,1748135594245,0,0,0
claude-4-sonnet,1748135594245,1,0,0
claude-4-sonnet,1748135594245,2,0,0
claude-4-sonnet,1748135594245,3,0,-1
claude-4-sonnet,1748135594245,4,1,0
claude-4-sonnet,1748135594251,0,0,1
claude-4-sonnet,1748135594251,1,-1,-2
claude-4-sonnet,1748135594251,2,-1,-1
claude-4-sonnet,1748135594251,3,-1,1
claude-4-sonnet,1748135594251,4,0,0
gemini-2.5-flash,1748135594214,0,-38,-40
gemini-2.5-flash,1748135594214,1,-17,-13
gemini-2.5-flash,1748135594214,2,34,-19
gemini-2.5-flash,1748135594214,3,-11,-45
gemini-2.5-flash,1748135594214,4,-57,-69
gemini-2.5-flash,1748135594245,0,18,-46
gemini-2.5-flash,1748135594245,1,63,-43
gemini-2.5-flash,1748135594245,2,94,-179
gemini-2.5-flash,1748135594245,3,77,-2
gemini-2.5-flash,1748135594245,4,2,-62
gemini-2.5-flash,1748135594251,0,-7,15
gemini-2.5-flash,1748135594251,1,4,-34
gemini-2.5-flash,1748135594251,2,68,-68
gemini-2.5-flash,1748135594251,3,80,-51
gemini-2.5-flash,1748135594251,4,-1,-16
gemini-2.5-pro,1748135594214,0,-75,35
gemini-2.5-pro,1748135594214,1,-105,-37
gemini-2.5-pro,1748135594214,2,-57,-8
gemini-2.5-pro,1748135594214,3,-72,64
gemini-2.5-pro,1748135594214,4,-15,52
gemini-2.5-pro,1748135594245,0,-15,-43
gemini-2.5-pro,1748135594245,1,-26,-36
gemini-2.5-pro,1748135594245,2,15,-30
gemini-2.5-pro,1748135594245,3,16,-9
gemini-2.5-pro,1748135594245,4,9,-23
gemini-2.5-pro,1748135594251,0,-24,-34
gemini-2.5-pro,1748135594251,1,-45,72
gemini-2.5-pro,1748135594251,2,40,-109
gemini-2.5-pro,1748135594251,3,73,-70
gemini-2.5-pro,1748135594251,4,-1,-16
gpt-4o,1748135594214,0,13,53
gpt-4o,1748135594214,1,33,-79
gpt-4o,1748135594214,2,71,-220
gpt-4o,1748135594214,3,26,32
gpt-4o,1748135594214,4,-7,-170
gpt-4o,1748135594245,0,301,144
gpt-4o,1748135594245,1,44,-18
gpt-4o,1748135594245,2,-91,4
gpt-4o,1748135594245,3,-150,-271
gpt-4o,1748135594245,4,-34,-160
gpt-4o,1748135594251,0,-11,287
gpt-4o,1748135594251,1,3,222
gpt-4o,1748135594251,2,15,-16
gpt-4o,1748135594251,3,17,-162
gpt-4o,1748135594251,4,-44,-86
gpt-5-nano,1748135594214,0,23,-17
gpt-5-nano,1748135594214,1,13,1
gpt-5-nano,1748135594214,2,31,10
gpt-5-nano,1748135594214,3,-24,122
gpt-5-nano,1748135594214,4,-17,100
gpt-5-nano,1748135594245,0,-22,-32
gpt-5-nano,1748135594245,1,-18,-145
gpt-5-nano,1748135594245,2,43,1
gpt-5-nano,1748135594245,3,84,-168
gpt-5-nano,1748135594245,4,37,-42
gpt-5-nano,1748135594251,0,-25,14
gpt-5-nano,1748135594251,1,-86,98
gpt-5-nano,1748135594251,2,-51,7
gpt-5-nano,1748135594251,3,-16,16
gpt-5-nano,1748135594251,4,-8,20
grok-4-fast-non-reasoning,1748135594214,0,-102,-254
grok-4-fast-non-reasoning,1748135594214,1,-41,-152
grok-4-fast-non-reasoning,1748135594214,2,60,-391
grok-4-fast-non-reasoning,1748135594214,3,34,297
grok-4-fast-non-reasoning,1748135594214,4,20,-69
grok-4-fast-non-reasoning,1748135594245,0,999,999
grok-4-fast-non-reasoning,1748135594245,1,999,999
grok-4-fast-non-reasoning,1748135594245,2,999,999
grok-4-fast-non-reasoning,1748135594245,3,999,999
grok-4-fast-non-reasoning,1748135594245,4,999,999
grok-4-fast-non-reasoning,1748135594251,0,-40,-73
grok-4-fast-non-reasoning,1748135594251,1,-70,105
grok-4-fast-non-reasoning,1748135594251,2,28,-214
grok-4-fast-non-reasoning,1748135594251,3,62,101
grok-4-fast-non-reasoning,1748135594251,4,-11,-209
grok-4-fast-reasoning,1748135594214,0,999,999
grok-4-fast-reasoning,1748135594214,1,999,999
grok-4-fast-reasoning,1748135594214,2,999,999
grok-4-fast-reasoning,1748135594214,3,999,999
grok-4-fast-reasoning,1748135594214,4,999,999
grok-4-fast-reasoning,1748135594245,0,-2,-229
grok-4-fast-reasoning,1748135594245,1,28,-148
grok-4-fast-reasoning,1748135594245,2,122,-200
grok-4-fast-reasoning,1748135594245,3,42,-43
grok-4-fast-reasoning,1748135594245,4,4,-51
grok-4-fast-reasoning,1748135594251,0,-40,-73
grok-4-fast-reasoning,1748135594251,1,-70,105
grok-4-fast-reasoning,1748135594251,2,28,-214
grok-4-fast-reasoning,1748135594251,3,62,101
grok-4-fast-reasoning,1748135594251,4,-11,-209
llama-4-maverick,1748135594214,0,-18,6
llama-4-maverick,1748135594214,1,-5,-163
llama-4-maverick,1748135594214,2,27,-351
llama-4-maverick,1748135594214,3,40,-84
llama-4-maverick,1748135594214,4,1,-78
llama-4-maverick,1748135594245,0,20,93
llama-4-maverick,1748135594245,1,78,-95
llama-4-maverick,1748135594245,2,179,-94
llama-4-maverick,1748135594245,3,150,-418
llama-4-maverick,1748135594245,4,163,193
llama-4-maverick,1748135594251,0,61,222
llama-4-maverick,1748135594251,1,30,158
llama-4-maverick,1748135594251,2,101,-59
llama-4-maverick,1748135594251,3,154,-172
llama-4-maverick,1748135594251,4,424,-340
llama-4-scout,1748135594214,0,-120,100
llama-4-scout,1748135594214,1,-90,-32
llama-4-scout,1748135594214,2,18,-37
llama-4-scout,1748135594214,3,43,303
llama-4-scout,1748135594214,4,50,181
llama-4-scout,1748135594245,0,-20,125
llama-4-scout,1748135594245,1,-21,-68
llama-4-scout,1748135594245,2,85,-37
llama-4-scout,1748135594245,3,51,-326
llama-4-scout,1748135594245,4,29,-225
llama-4-scout,1748135594251,0,-33,314
llama-4-scout,1748135594251,1,-69,348
llama-4-scout,1748135594251,2,1,207
llama-4-scout,1748135594251,3,51,166
llama-4-scout,1748135594251,4,-6,100
o3,1748135594214,0,0,-5
o3,1748135594214,1,0,7
o3,1748135594214,2,7,-6
o3,1748135594214,3,-8,-47
o3,1748135594214,4,9,-16
o3,1748135594245,0,999,999
o3,1748135594245,1,999,999
o3,1748135594245,2,999,999
o3,1748135594245,3,999,999
o3,1748135594245,4,999,999
o3,1748135594251,0,-5,124
o3,1748135594251,1,4,-2
o3,1748135594251,2,14,-53
o3,1748135594251,3,14,-4
o3,1748135594251,4,12,10
o4-mini,1748135594214,0,49,39
o4-mini,1748135594214,1,42,42
o4-mini,1748135594214,2,30,19
o4-mini,1748135594214,3,-85,-43
o4-mini,1748135594214,4,-23,74
o4-mini,1748135594245,0,3,-52
o4-mini,1748135594245,1,-3,-50
o4-mini,1748135594245,2,93,-54
o4-mini,1748135594245,3,14,7
o4-mini,1748135594245,4,27,-27
o4-mini,1748135594251,0,-35,-146
o4-mini,1748135594251,1,-106,188
o4-mini,1748135594251,2,-1,-63
o4-mini,1748135594251,3,24,-34
o4-mini,1748135594251,4,2,80
